a5,b1,b11,b12,c1,c15,c28,c33,c35,c5,centre,christian,conserv,d4,d6,d9,e4,e5,e7,f1,f2,f27,f3,f30,f32,f5,green,happy,leftparty,liberal,socialdemocrats
"0,5 hour to 1 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,9,Fair,Yes,No,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,6.000000,Female,No,1989.000,No,P,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,8,Good,No,No,No,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Neither agree nor disagr,2.000000,Female,Yes,1948.000,"Yes, currently",S,Country village,1,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,GREEN PARTY,5,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Disagree,Agree,Agree,1.000000,Female,No,1983.000,No,M,A big city,1,0,0,0,0
"More than 1 hour, up to ",Very interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,Not applicable,Disagree,Neither agree nor disagr,Agree,2.000000,Male,No,1934.000,"Yes, previously",K,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,SOCIAL DEMOCRATS,4,Bad,Yes,Yes,Yes,No,0,0,0,Yes,No,2.000000,Disagree strongly,Agree,Agree,4.000000,Female,Yes,1974.000,"Yes, currently",P,Town or small city,0,0,0,0,1
"More than 1 hour, up to ",Very interested,Yes,LEFT,5,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Disagree,1.000000,Male,No,1954.000,"Yes, previously",M,A big city,0,0,1,0,0
"Less than 0,5 hour",Very interested,No,NOT APPLICABLE,8,Good,No,No,No,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,1.000000,Male,No,1965.000,"Yes, currently",K,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,No,No,Not applicable,Agree strongly,Agree strongly,Agree,3.000000,Female,No,1988.000,No,D,Town or small city,0,1,0,0,0
"More than 1,5 hours, up ",Hardly interested,Yes,SOCIAL DEMOCRATS,9,Very good,No,No,No,No,0,0,0,Yes,Yes,3.000000,Agree strongly,Agree,Disagree,5.000000,Female,No,1971.000,"Yes, currently",K,A big city,0,1,0,0,1
No time at all,Quite interested,Yes,CONSERVATIVE,Extremely happy,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Agree strongly,2.000000,Female,No,1926.000,No,S,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LEFT,5,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Disagree,5.000000,Male,No,1963.000,"Yes, currently",D,Town or small city,0,0,1,0,0
"More than 1,5 hours, up ",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Very good,No,No,No,Yes,0,1,0,No,No,Not applicable,Agree strongly,Agree,Agree,4.000000,Male,No,1986.000,No,K,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,5.000000,Agree,Agree,Agree,1.000000,Female,No,1916.000,"Yes, previously",M,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,1,0,Yes,No,1.000000,Agree,Agree strongly,Agree,3.000000,Female,No,1977.000,No,D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,8,Very good,No,No,No,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,Yes,1951.000,"Yes, currently",D,Suburbs or outskirts of ,1,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,3.000000,Agree,Agree,Neither agree nor disagr,1.000000,Female,No,1936.000,"Yes, currently",F,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Fair,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Male,Yes,1981.000,No,S,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,6,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Agree,5.000000,Male,No,1969.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,2,Fair,Yes,Yes,No,No,0,0,1,Yes,Yes,4.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,2.000000,Male,No,1952.000,"Yes, previously",D,Country village,0,0,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,7,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,3.000000,Female,No,1949.000,"Yes, currently",S,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,9,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,3.000000,Female,No,1990.000,No,D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,REFUSAL,9,Very bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,Not applicable,Agree strongly,Agree strongly,Agree strongly,2.000000,Female,No,1943.000,"Yes, currently",D,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Female,No,1948.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,7,Fair,No,No,No,Yes,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,3.000000,Female,Yes,1963.000,"Yes, currently",K,A big city,0,1,0,0,1
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,9,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Female,No,1953.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,CHRISTIAN DEMOCRATS,Extremely happy,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,Not applicable,Agree,Agree,Agree strongly,2.000000,Female,No,1978.000,"Yes, previously",H,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,GREEN PARTY,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,5.000000,Male,Yes,1971.000,"Yes, currently",H,Suburbs or outskirts of ,1,1,0,0,0
"Less than 0,5 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,8,Good,No,No,No,Yes,0,0,0,Yes,No,2.000000,Agree,Agree,Agree,4.000000,Female,No,1959.000,"Yes, currently",D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,Extremely happy,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1931.000,"Yes, previously",K,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,6,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree strongly,Neither agree nor disagr,Agree,1.000000,Male,No,1939.000,"Yes, previously",F,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,GREEN PARTY,6,Fair,Yes,Yes,Yes,No,0,0,0,Yes,No,3.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,5.000000,Female,No,1964.000,"Yes, currently",P,Suburbs or outskirts of ,1,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,1.000000,Agree,Agree,Agree,1.000000,Male,Yes,1955.000,No,S,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,GREEN PARTY,5,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Disagree,Agree,Neither agree nor disagr,2.000000,Male,Yes,1974.000,"Yes, currently",D,A big city,1,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Male,Yes,1947.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,Yes,1973.000,"Yes, currently",Don't know,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,REFUSAL,9,Good,Yes,Don't know,No,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Neither agree nor disagr,4.000000,Female,Yes,1981.000,No,S,Country village,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,REFUSAL,4,Bad,No,No,No,No,0,0,0,Yes,Yes,1.000000,Agree,Agree,Neither agree nor disagr,2.000000,Female,Yes,1949.000,"Yes, currently",Don't know,Town or small city,0,0,0,0,0
"More than 1 hour, up to ",Hardly interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,No,1938.000,No,K,Town or small city,0,1,0,0,0
"More than 2 hours, up to",Not at all interested,No,NOT APPLICABLE,6,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,Yes,1956.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Neither agree nor disagr,Disagree,6.000000,Female,No,1972.000,"Yes, currently",P,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Male,Yes,1973.000,"Yes, currently",D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree,Agree,4.000000,Female,No,1973.000,"Yes, previously",D,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,No,1960.000,"Yes, previously",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,5,Fair,No,No,No,No,0,0,0,Yes,Yes,4.000000,Agree,Agree,Disagree,6.000000,Male,No,1965.000,"Yes, previously",D,Town or small city,0,0,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,7,Fair,Yes,No,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,2.000000,Female,Yes,1947.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,1,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,7,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,No,1935.000,"Yes, previously",S,Suburbs or outskirts of ,0,1,0,0,1
"More than 1 hour, up to ",Very interested,No,NOT APPLICABLE,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1948.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Female,No,1941.000,"Yes, previously",P,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,LEFT,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,3.000000,Agree,Agree strongly,Agree,4.000000,Male,Yes,1962.000,"Yes, currently",F,Town or small city,0,1,1,0,0
"Less than 0,5 hour",Very interested,Yes,GREEN PARTY,8,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,No,1951.000,"Yes, previously",K,Town or small city,1,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1943.000,No,Refusal,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CHRISTIAN DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree strongly,Agree,Agree strongly,2.000000,Male,No,1934.000,"Yes, previously",P,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1941.000,"Yes, previously",M,Town or small city,0,1,0,0,0
No time at all,Hardly interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Neither agree nor disagr,1.000000,Male,Yes,1973.000,"Yes, currently",S,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Very interested,Yes,SOCIAL DEMOCRATS,6,Fair,Yes,Yes,No,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,3.000000,Female,Yes,1953.000,"Yes, currently",P,Country village,0,1,0,0,1
No time at all,Very interested,Yes,OTHER,6,Fair,No,No,No,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,3.000000,Male,No,1987.000,No,S,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,7,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,2.000000,Male,Yes,1948.000,"Yes, currently",D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,9,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree strongly,Agree,Agree,5.000000,Female,No,1956.000,"Yes, previously",H,Suburbs or outskirts of ,0,1,0,1,0
No time at all,Hardly interested,Yes,CONSERVATIVE,9,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,3.000000,Female,Yes,1978.000,No,D,Town or small city,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Not eligible to vote,NOT APPLICABLE,9,Very good,No,No,No,Yes,0,0,0,Yes,No,2.000000,Agree,Agree strongly,Agree,4.000000,Male,No,1958.000,No,P,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,Not applicable,Agree,Agree,Agree,1.000000,Male,No,1958.000,"Yes, currently",F,Farm or home in countrys,0,1,0,0,0
No time at all,Quite interested,Yes,CHRISTIAN DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree strongly,Agree,Agree,2.000000,Male,No,1929.000,"Yes, previously",S,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Female,No,1971.000,"Yes, currently",H,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,No,NOT APPLICABLE,9,Very good,No,No,No,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,1.000000,Female,No,1946.000,"Yes, previously",F,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CHRISTIAN DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,3.000000,Agree strongly,Agree,Agree,5.000000,Female,No,1970.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,GREEN PARTY,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,Yes,1965.000,"Yes, currently",M,Farm or home in countrys,1,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,4,Good,Yes,Yes,No,No,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,4.000000,Male,No,1963.000,"Yes, currently",D,Town or small city,0,0,0,0,1
"Less than 0,5 hour",Hardly interested,No,NOT APPLICABLE,7,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Agree strongly,Agree,Neither agree nor disagr,3.000000,Female,Yes,1981.000,No,F,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree strongly,Agree,2.000000,Male,Yes,1970.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,1
No time at all,Quite interested,No,NOT APPLICABLE,7,Good,Yes,No,Yes,Yes,0,0,0,Yes,No,3.000000,Neither agree nor disagr,Agree,Disagree,4.000000,Female,No,1969.000,"Yes, currently",F,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,4.000000,Male,No,1948.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,OTHER,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Disagree,Agree,Agree,5.000000,Male,Yes,1971.000,"Yes, currently",P,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Agree,Neither agree nor disagr,6.000000,Female,No,1967.000,"Yes, previously",P,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,8,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,2.000000,Female,No,1990.000,No,Don't know,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,Extremely happy,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,1.000000,Male,No,1983.000,"Yes, currently",M,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,REFUSAL,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Male,No,1978.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,Yes,1968.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Fair,Yes,Yes,Yes,Yes,0,1,0,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Agree,1.000000,Male,No,1948.000,No,S,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Male,No,1973.000,"Yes, currently",D,Country village,0,1,0,1,0
"0,5 hour to 1 hour",Hardly interested,Yes,GREEN PARTY,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,No,1971.000,"Yes, currently",D,Farm or home in countrys,1,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,No,1,0,0,No,No,Not applicable,Agree strongly,Agree,Agree,2.000000,Male,No,1982.000,No,F,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree strongly,Agree,2.000000,Female,No,1983.000,No,P,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,No,1956.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,No,NOT APPLICABLE,9,Very good,Yes,Yes,No,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree strongly,2.000000,Male,Yes,1978.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LEFT,8,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Neither agree nor disagr,1.000000,Male,Yes,1979.000,"Yes, previously",F,Town or small city,0,1,1,0,0
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Male,No,1953.000,"Yes, currently",D,Country village,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Male,No,1969.000,"Yes, currently",D,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,LEFT,7,Very good,Yes,No,Yes,No,0,0,0,No,No,Not applicable,Agree strongly,Agree strongly,Agree,3.000000,Male,Yes,1987.000,"Yes, currently",Don't know,Farm or home in countrys,0,1,1,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,3.000000,Disagree,Agree,Neither agree nor disagr,3.000000,Female,No,1959.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,1
No time at all,Hardly interested,No,NOT APPLICABLE,8,Very good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Agree,Agree,3.000000,Male,Yes,1984.000,No,P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,5.000000,Agree,Agree,Agree,7.000000,Female,No,1958.000,No,H,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,No,1952.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,Yes,1950.000,"Yes, currently",P,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Don't know,No,NOT APPLICABLE,7,Don't know,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Agree,2.000000,Male,Yes,1983.000,"Yes, previously",C,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CHRISTIAN DEMOCRATS,Extremely happy,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1925.000,"Yes, currently",F,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,8,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1990.000,No,Don't know,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree,Agree strongly,2.000000,Male,No,1976.000,"Yes, currently",S,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,8,Bad,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Disagree,Neither agree nor disagr,Disagree,2.000000,Female,No,1938.000,"Yes, previously",K,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CENTRE PARTY,8,Fair,Yes,Yes,Yes,Yes,1,0,0,Yes,Yes,1.000000,Agree,Neither agree nor disagr,Agree,2.000000,Male,No,1950.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,Yes,1963.000,"Yes, currently",H,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Disagree strongly,3.000000,Female,No,1940.000,"Yes, previously",K,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree,Neither agree nor disagr,1.000000,Female,No,1922.000,No,M,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,7,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Disagree,2.000000,Female,No,1952.000,"Yes, previously",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,No,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree,Agree strongly,4.000000,Male,No,1967.000,"Yes, currently",D,A big city,0,1,0,0,0
No time at all,Very interested,Yes,CONSERVATIVE,4,Good,No,No,Yes,Yes,0,0,1,Yes,Yes,1.000000,Neither agree nor disagr,Neither agree nor disagr,Disagree,2.000000,Male,No,1945.000,No,N,Suburbs or outskirts of ,0,0,0,0,0
